index,protocol,source,destination,size,info,payload
76,"UNKNOWN","-","-",60,"",""
77,"TCP","192.168.20.206","142.251.156.2",105,"Port 59508 -> 443","""Qte`6Y7jz"
78,"TCP","142.251.156.2","192.168.20.206",105,"Port 443 -> 59508","""PYqQ""il_tPGp"
79,"TCP","192.168.20.206","142.251.156.2",66,"Port 59508 -> 443",""
80,"UNKNOWN","-","-",64,"",""
81,"UDP","192.168.20.208","192.168.20.255",86,"Port 57621 -> 57621","SpotUdp0~,;H.BnjcJH"
82,"UNKNOWN","-","-",60,"",""
83,"UNKNOWN","-","-",64,"",""
84,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
85,"UNKNOWN","-","-",60,"",""
86,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
87,"UNKNOWN","-","-",64,"",""
88,"UNKNOWN","-","-",92,"",""
89,"58 (ICMPv6)","fe80:0:0:0:9d04:8151:107c:b115","ff02:0:0:0:0:1:ff03:cab6",86,"",""
90,"UDP","fe80:0:0:0:6f4:1cff:fe04:10c9","ff02:0:0:0:0:0:0:1",233,"Port 5678 -> 5678","IR Infosys Limited#7.16.2 (stable) 2024-11-26 12:09:40MikroTik7X79-27A8CCR2004-16G-2S+VLAN-20"
91,"UDP","192.168.20.1","255.255.255.255",213,"Port 5678 -> 5678","IR Infosys Limited#7.16.2 (stable) 2024-11-26 12:09:40MikroTik7X79-27A8CCR2004-16G-2S+VLAN-20"
92,"UNKNOWN","-","-",60,"",""
93,"TCP","192.168.20.206","34.120.208.123",112,"Port 37942 -> 443",")0S%INhk3l'"
94,"TCP","192.168.20.206","34.120.208.123",97,"Port 37942 -> 443","8UGT3Sbk"
95,"TCP","192.168.20.206","34.120.208.123",66,"Port 37942 -> 443",""
96,"TCP","34.120.208.123","192.168.20.206",66,"Port 443 -> 37942",""
97,"TCP","34.120.208.123","192.168.20.206",66,"Port 443 -> 37942",""
98,"TCP","192.168.20.206","34.120.208.123",66,"Port 37942 -> 443",""
99,"UNKNOWN","-","-",64,"",""
